currency_from,currency_to,exchange_rate
aave,btc,0.00126186
aave,eth,0.04239594
aave,ltc,1.751784
aave,bch,0.2168332
aave,doge,979.6358216170486
aave,link,10.459738
aave,uni,29.929230769230767
aave,avax,10.504319654427645
aave,dot,78.715
avax,btc,0.00012012
avax,eth,0.00403562
avax,ltc,0.16675051
avax,bch,0.02064013
avax,doge,93.26028280223986
avax,link,0.99565152
avax,uni,2.8492307692307692
avax,aave,0.09519893081114424
avax,dot,7.492753
btc,eth,33.589404
btc,ltc,1388
btc,bch,171.792
btc,doge,776185.3925794626
btc,link,8287
btc,uni,23713.53846153846
btc,avax,8322.786177105832
btc,aave,792.3203454302458
btc,dot,62364
bch,btc,0.00582303
bch,eth,0.19564165
bch,ltc,8.08384
bch,doge,4520.9080288442165
bch,link,48.267842
bch,uni,138.12
bch,avax,48.47624190064795
bch,aave,4.614886398684075
bch,dot,363.239
link,btc,0.00012071
link,eth,0.00405566
link,ltc,0.16757838
link,bch,0.0207426
link,doge,93.7638480441526
link,uni,2.8646153846153846
link,avax,1.0053995680345573
link,aave,0.09571296391487613
link,dot,7.529953
doge,btc,1.29e-06
doge,eth,4.327e-05
doge,ltc,0.0017881
doge,bch,0.00022133
doge,link,0.0106766
doge,uni,0.030551384615384616
doge,avax,0.01072267818574514
doge,aave,0.0010207874987149172
doge,dot,0.08034652
eth,btc,0.02977568
eth,ltc,41.336192
eth,bch,5.116531
eth,doge,23117.27027353664
eth,link,246.814
eth,uni,706.2646153846155
eth,avax,247.87904967602594
eth,aave,23.59782049964018
eth,dot,1857
ltc,btc,0.00072073
ltc,eth,0.02421511
ltc,bch,0.12384774
ltc,doge,559.5616968134392
ltc,link,5.974246
ltc,uni,17.095384615384617
ltc,avax,6.0
ltc,aave,0.5711935848668654
ltc,dot,44.959055
dot,btc,1.604e-05
dot,eth,0.00053875
dot,ltc,0.02226095
dot,bch,0.00275543
dot,doge,12.488417999436006
dot,link,0.132918
dot,uni,0.38153846153846155
dot,avax,0.13390928725701945
dot,aave,0.012748020972550633
uni,btc,4.213e-05
uni,eth,0.00141547
uni,ltc,0.05848669
uni,bch,0.00723939
uni,doge,32.73174072432824
uni,link,0.34921847
uni,avax,0.3509719222462203
uni,aave,0.03341215174257222
uni,dot,2.628036
